Designator,Val,Package,"Mid X","Mid Y",Rotation,Layer
"D2","1N4148W","D_SOD-123",-60.625400,-34.976758,-105.000000,bottom
"D3","1N4148W","D_SOD-123",-80.272080,-35.064694,-105.000000,bottom
"D8","1N4148W","D_SOD-123",-201.611549,-39.337487,-75.000000,bottom
"D9","1N4148W","D_SOD-123",-221.258231,-39.249553,-75.000000,bottom
"D11","1N4148W","D_SOD-123",-34.120011,-60.485860,-105.000000,bottom
"D12","1N4148W","D_SOD-123",-55.707833,-53.329345,-105.000000,bottom
"D13","1N4148W","D_SOD-123",-75.354522,-53.417283,-105.000000,bottom
"D14","1N4148W","D_SOD-123",-92.413013,-63.164473,-105.000000,bottom
"D15","1N4148W","D_SOD-123",-110.118558,-70.496853,-105.000000,bottom
"D16","1N4148W","D_SOD-123",-171.765071,-74.769638,-75.000000,bottom
"D17","1N4148W","D_SOD-123",-195.816381,-75.113112,15.000000,bottom
"D18","1N4148W","D_SOD-123",-206.211803,-57.539832,-75.000000,bottom
"D19","1N4148W","D_SOD-123",-226.164588,-57.560319,-75.000000,bottom
"D20","1N4148W","D_SOD-123",-247.763620,-64.758654,-75.000000,bottom
"D21","1N4148W","D_SOD-123",-29.202445,-78.838450,-105.000000,bottom
"D22","1N4148W","D_SOD-123",-51.364981,-69.764867,-105.000000,bottom
"D23","1N4148W","D_SOD-123",-70.436961,-71.769879,-105.000000,bottom
"D24","1N4148W","D_SOD-123",-87.495455,-81.517064,-105.000000,bottom
"D25","1N4148W","D_SOD-123",-105.201004,-88.849441,-105.000000,bottom
"D26","1N4148W","D_SOD-123",-176.682631,-93.122231,-75.000000,bottom
"D27","1N4148W","D_SOD-123",-194.388175,-85.789855,-75.000000,bottom
"D28","1N4148W","D_SOD-123",-211.446672,-76.042663,-75.000000,bottom
"D29","1N4148W","D_SOD-123",-231.093358,-75.954731,-75.000000,bottom
"D30","1N4148W","D_SOD-123",-252.681183,-83.111239,-75.000000,bottom
"D33","1N4148W","D_SOD-123",-81.283800,-104.699287,-105.000000,bottom
"D34","1N4148W","D_SOD-123",-101.591093,-110.560170,-115.000000,bottom
"D35","1N4148W","D_SOD-123",-120.572136,-119.858339,-125.000000,bottom
"D36","1N4148W","D_SOD-123",-163.733261,-129.324636,-55.000000,bottom
"D37","1N4148W","D_SOD-123",-181.276232,-117.535650,-65.000000,bottom
"D38","1N4148W","D_SOD-123",-200.599832,-108.972079,-75.000000,bottom
"H1","MountingHole","fingerpunch-logo",-149.559184,-129.383678,180.000000,bottom
"SW41","SW_Push","SKQG-1155865",-149.147311,-98.602740,180.000000,bottom
